Keyword,Cluster,Sous-Cluster,Intent,Volume,Trend,KD,CPC_EUR,Updated,Priorite_SEO
pompe a chaleur,Pompe à chaleur,Générique,Informational/Transactional,60500,stable,39,1.94,2 weeks,Tier 1 - Pilier
pac,Pompe à chaleur,Générique,Informational,33100,stable,55,0.60,2 weeks,Tier 1 - Pilier
pompe à chaleur,Pompe à chaleur,Générique,Informational,18100,stable,49,1.59,2 weeks,Tier 1 - Pilier
pompe à chaleur air eau,Pompe à chaleur,Air-Eau,Commercial,6600,stable,38,1.67,2 weeks,Tier 1 - Pilier
pac air air,Pompe à chaleur,Air-Air,Informational/Commercial,4400,stable,35,1.25,2 weeks,Tier 1 - Pilier
pac air eau,Pompe à chaleur,Air-Eau,Commercial,4400,stable,34,1.71,2 weeks,Tier 1 - Pilier
pompe à chaleur air air,Pompe à chaleur,Air-Air,Commercial,4400,stable,31,1.24,2 weeks,Tier 1 - Pilier
prix pompe à chaleur,Pompe à chaleur,Prix,Commercial,3600,stable,34,1.16,2 weeks,Tier 1 - Conversion
chaudière biomasse,Chaudière,Biomasse,Informational/Transactional,2900,stable,19,0.49,2 weeks,Tier 1 - Quick win
chaudière gaz condensation,Chaudière,Condensation,Commercial,1600,stable,32,0.92,1 month,Tier 1 - Pilier
pac réversible,Pompe à chaleur,Réversible,Informational,1300,stable,17,1.20,1 month,Tier 1 - Quick win
remplacement chaudière gaz,Chaudière,Remplacement,Informational/Commercial,1000,stable,22,1.96,1 month,Tier 1 - Conversion
chaudière condensation,Chaudière,Condensation,Commercial,880,stable,30,1.13,1 month,Tier 2
pac eau eau,Pompe à chaleur,Eau-Eau,Commercial,720,stable,21,0.88,1 month,Tier 2
pompe à chaleur eau eau,Pompe à chaleur,Eau-Eau,Commercial,720,stable,18,0.84,1 month,Tier 2 - Quick win
pac géothermique,Pompe à chaleur,Géothermie,Commercial,590,stable,23,0.87,1 month,Tier 2
dimensionnement pompe à chaleur,Pompe à chaleur,Technique,Informational,480,stable,19,0.64,1 month,Tier 2 - Quick win
pompe à chaleur haute température,Pompe à chaleur,Haute Température,Informational,480,stable,12,1.03,1 month,Tier 2 - Quick win
cop pompe à chaleur,Pompe à chaleur,Technique,Informational,390,stable,33,0.25,1 month,Tier 2
pac haute température,Pompe à chaleur,Haute Température,Informational/Commercial,390,stable,17,0.98,1 month,Tier 2 - Quick win
cee pompe à chaleur,CEE & Aides,PAC,Commercial,260,stable,20,2.86,2 weeks,Tier 2 - High CPC
scop pac,Pompe à chaleur,Technique,Informational,210,stable,25,0.20,4 weeks,Tier 3
bat-th-142,CEE & Aides,Fiches CEE,Informational,170,stable,11,0.00,1 month,Tier 3 - Niche B2B
pompe à chaleur copropriété,Pompe à chaleur,Copropriété,Informational,170,stable,11,1.53,1 month,Tier 3 - B2B
pompe à chaleur industrielle,Pompe à chaleur,Industrielle,Informational,170,stable,30,1.59,1 month,Tier 3 - B2B
prix installation pac,Pompe à chaleur,Prix,Commercial,170,stable,28,1.67,2 weeks,Tier 3 - Conversion
bat-th-113,CEE & Aides,Fiches CEE,Informational,140,stable,15,0.00,1 month,Tier 3 - Niche B2B
chaudière biomasse industrielle,Chaudière,Biomasse,Informational,140,stable,7,0.79,1 month,Tier 3 - Quick win
pac industrielle,Pompe à chaleur,Industrielle,Informational/Commercial,140,stable,8,1.59,1 month,Tier 3 - Quick win
pompe à chaleur entreprise,Pompe à chaleur,B2B,Commercial,110,stable,16,3.56,1 month,Tier 3 - High CPC
prime cee pompe à chaleur,CEE & Aides,PAC,Informational,110,stable,23,2.65,1 month,Tier 3 - High CPC
bar-th-159,CEE & Aides,Fiches CEE,Informational,70,stable,13,1.59,4 weeks,Tier 3 - Niche
grossiste pompe à chaleur,Pompe à chaleur,B2B,Commercial,70,stable,11,0.00,2 weeks,Tier 3
pac haute temperature,Pompe à chaleur,Haute Température,Commercial,70,stable,15,0.97,3 weeks,Tier 3
géothermie professionnelle,Pompe à chaleur,Géothermie,n/a,50,n/a,n/a,0.00,n/a,Tier 4
pompe à chaleur prix usine,Pompe à chaleur,Prix,n/a,40,n/a,n/a,1.27,n/a,Tier 4
fiche cee pompe à chaleur,CEE & Aides,Fiches CEE,n/a,30,n/a,n/a,1.35,n/a,Tier 4
installation chaudière condensation,Chaudière,Condensation,n/a,30,n/a,n/a,1.69,n/a,Tier 4
pac air air cee,CEE & Aides,PAC,n/a,30,n/a,n/a,1.30,n/a,Tier 4
pompe à chaleur haute température industrielle,Pompe à chaleur,Haute Température,n/a,30,n/a,n/a,2.18,n/a,Tier 4 - High CPC
cee chaudière condensation,CEE & Aides,Chaudière,n/a,20,n/a,n/a,2.31,n/a,Tier 4 - High CPC
chaudière condensation copropriété,Chaudière,Condensation,n/a,20,n/a,n/a,0.00,n/a,Tier 4
chaudière haut rendement,Chaudière,Condensation,n/a,20,n/a,n/a,0.58,n/a,Tier 4
climatisation pac air air,Climatisation,PAC Air-Air,n/a,20,n/a,n/a,1.23,n/a,Tier 4
pompe à chaleur tertiaire,Pompe à chaleur,Tertiaire,n/a,20,n/a,n/a,0.85,n/a,Tier 4 - B2B
prime cee chaudière condensation,CEE & Aides,Chaudière,n/a,20,n/a,n/a,1.25,n/a,Tier 4
pac réhausse chaleur fatale,Pompe à chaleur,Chaleur Fatale,n/a,10,n/a,n/a,0.00,n/a,Tier 5 - Niche
